cluster,id,names,feature,value
6,1VU8t2MpJRLG5iFEIxqq7z,Geboren um zu leben,danceability,0.513
3,4YRvb9B8cgvhst11qk8CKn,Sonnentanz,danceability,0.646
7,7qiZfU4dY1lWllzX7mPBI3,Shape of You,danceability,0.825
6,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,danceability,0.694
6,4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,danceability,0.73
4,6habFhsOp2NvshLv26DqMb,Despacito,danceability,0.655
2,1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",danceability,0.591
2,3U4isOIWM3VvDubwSI3y7a,All of Me,danceability,0.422
2,2VxeLyX666F8uXCJ0dZF8B,Shallow,danceability,0.577
6,0tgVpDi06FyKpA1z0VMD4v,Perfect,danceability,0.599
1,1ZMODMeLK5x6W8r8jsmmgX,Au Revoir (feat. Sido),danceability,0.659
7,6dXt4t5jgySnVTeTpT4C0l,Auf uns,danceability,0.63
6,2lYsCjTvXIHOqT8xSbK2jq,Tage wie diese,danceability,0.67
0,0lKyMPBRuIDCX56NORu5NZ,Die immer lacht - Radio 2016 Mix,danceability,0.729
0,7bolFIVYrui4h98GEK0MIK,Geiles Leben,danceability,0.639
2,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,danceability,0.575
7,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",danceability,0.647
0,7DFSnCBYlus7i4U9KKlbdU,No Roots,danceability,0.862
6,2IxixfQUSQkwCCblJT3Eq1,Heavy Cross,danceability,0.793
6,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit,danceability,0.782
7,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),danceability,0.764
6,4255amV4enzl28KAn16rUO,Are You with Me,danceability,0.763
3,3ZSqMer9RLSglvi18bWXYV,Sky and Sand,danceability,0.792
2,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,danceability,0.614
6,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),danceability,0.765
6,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,danceability,0.532
2,3WlVUkLgGYByiGj8gF4erq,I Follow Rivers,danceability,0.599
7,2CbuG4ib5Wg5q8AEhVgll7,Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit,danceability,0.749
4,1zB4vmk8tFRmM9UULNzbLB,Thunder,danceability,0.604
1,5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,danceability,0.763
7,4icNLSquKZp6e0iEkBn9RP,Glow - Radio Edit,danceability,0.707
6,3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,danceability,0.603
2,0eZBeB2xFIS65jQHerispi,The Sound of Silence,danceability,0.322
2,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),danceability,0.78
0,1I8tHoNBFTuoJAlh4hfVVE,Firestone,danceability,0.704
2,4yDjzVhXig9tfO7Zv46FE8,Over the Rainbow,danceability,0.671
7,7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,danceability,0.72
2,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,danceability,0.501
7,1rqqCSm0Qe4I9rUvWncaom,High Hopes,danceability,0.579
